manchete, link, 
Crypto Fest 2021 Explores the Growing NFT and DeFi Ecosystem and the Future Ahead,https://cryptonews.com/news/crypto-fest-2021-explores-the-growing-nft-and-defi-ecosystem-and-the-future-ahead.htm,1
This Is Why Bitwise Withdrew BTC Futures ETF,https://cryptonews.com/news/this-is-why-bitwise-withdrew-btc-futures-etf.htm,2
Twitter Launches Twitter Crypto: Hereâs How the Company Got There,https://cryptonews.com/news/twitter-launches-twitter-crypto-heres-how-the-company-got-there.htm,3
Bitcoin and Ethereum Correct. Altcoins Follow,https://cryptonews.com/news/bitcoin-and-ethereum-correct-altcoins-follow.htm,4
Structure Finance Lists on AscendEX,https://cryptonews.com/news/structure-finance-lists-on-ascendex.htm,5
Fujitsu Affiliate to Pilot Blockchain Pay Platform,https://cryptonews.com/news/fujitsu-affiliate-to-pilot-blockchain-pay-platform.htm,6
Seoul to Launch âMetaverseâ Public Service Platform in 2022,https://cryptonews.com/news/seoul-to-launch-metaverse-public-service-platform-in-2022.htm,7
Ethereum Fees Pushed Higher by DEX Trading as Optimism's Upgrade Nears,https://cryptonews.com/news/ethereum-fees-pushed-higher-by-dex-trading-as-optimisms-upgrade-nears.htm,8
A Perfectly Fair Presale Planning from ALYA Token,https://cryptonews.com/news/a-perfectly-fair-presale-planning-from-alya-token.htm,9
NYCCoin. Cambridge on Tezos. Tether on Avalanche + More News,https://cryptonews.com/news/nyccoin-cambridge-on-tezos-tether-on-avalanche-more-news.htm,10
2021âs NFT Innovators Are Paving the Way for Further Epic Growth,https://cryptonews.com/news/2021s-nft-innovators-are-paving-the-way-for-further-epic-growth.htm,11
Hybrid Cryptocurrencies: A New Gold Standard,https://cryptonews.com/news/hybrid-cryptocurrencies-a-new-gold-standard.htm,12
Bitcoin Hits All-Time High on Record US Inflation Figures,https://cryptonews.com/news/bitcoin-hits-all-time-high-on-record-us-inflation-figures.htm,13
Polker Joins Facebook in Unveiling Metaverse Ecosystem,https://cryptonews.com/news/polker-joins-facebook-in-unveiling-metaverse-ecosystem.htm,14
Bitcoin and Ethereum Prepare For Next Move,https://cryptonews.com/news/bitcoin-and-ethereum-prepare-for-next-move.htm,15
72% of Surveyed Game Developers Interested in Using NFTs and Blockchain,https://cryptonews.com/news/72-of-surveyed-game-developers-interested-in-using-nfts-and-blockchain.htm,16
